payment_id,amount,payment_method,initiated_by,approved_by,approval_threshold,status,approval_type,approval_outcome,approval_date,Does the payment amount fall within the defined approval threshold?,Does the payment currency comply with policy requirements?,Has the approval outcome been recorded correctly?,Has the payment been approved by an authorized approver?,Is the payment method authorized for this vendor?,Is the payment status valid for settlement?,Is the vendor included in the approved vendor list?,Was the approval obtained prior to payment initiation?
7ca00746-350b-478f-a6b4-c721d46edef9,39686.41,CreditCard,user002,manager001,261518.21,Held,Single,Approved,2025-08-02T14:47:49.822549+00:00,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
a9cfc34c-632f-455a-8760-de9097413443,199372.30,RTGS,user001,director001,59688.28,Processed,Dual,Approved,2025-07-31T05:47:49.822583+00:00,No,Yes,Yes,Yes,Yes,Yes,Yes,No
82122f00-09eb-45e6-a02f-7ba514f6d77f,376449.95,RTGS,user002,manager002,89943.25,Cancelled,Dual,Rejected,2025-08-05T18:47:49.822597+00:00,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,Not Applicable
d6dccf28-f243-4258-aa3a-9ef54f47cce3,458046.19,RTGS,user001,director001,240091.29,Processed,Dual,Approved,2025-08-08T07:47:49.822609+00:00,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
c3d0a7d6-1a6f-4786-8777-5e7ee751b2e5,111156.14,RTGS,user002,manager001,175185.56,Processed,Single,Approved,2025-08-03T04:47:49.822619+00:00,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
977d094f-3fae-4142-ab07-07e0d3f8ae7a,329084.42,RTGS,user002,manager001,168479.22,Cancelled,Dual,Approved,2025-07-24T18:47:49.822628+00:00,No,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable
b30f6220-1e77-4860-b517-71f45c865d81,193131.32,RTGS,user001,manager001,108904.93,Held,Dual,Approved,2025-08-07T15:47:49.822638+00:00,No,Yes,Yes,Yes,Yes,Yes,Yes,No
53695837-ffdd-449c-ba5b-799492f1c115,111052.26,CreditCard,user001,manager002,232162.44,Cancelled,Single,Approved,2025-08-19T01:47:49.822647+00:00,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
81ede458-9478-4a40-944f-87db8c6495e0,409739.22,RTGS,user001,manager002,91790.23,Cancelled,Dual,Rejected,2025-07-31T15:47:49.822655+00:00,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,Not Applicable
701c88c4-57be-4c5c-b455-165395760b50,311369.70,RTGS,user001,manager001,123242.91,Processed,Dual,Rejected,2025-07-28T15:47:49.822664+00:00,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,Not Applicable
3de3b0c3-02bf-4c52-81b2-b7d646eecf7a,218750.61,RTGS,user001,director001,262152.32,Processed,Single,Approved,2025-08-10T11:47:49.822673+00:00,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
46340876-672f-40ec-beaf-6c9a8b30034b,231621.90,RTGS,user001,manager001,120680.36,Cancelled,Dual,Rejected,2025-08-14T16:47:49.822683+00:00,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes
37882c54-a9e8-4442-8758-47336167bf7a,18533.02,UPI,user003,director001,50787.62,Processed,Single,Approved,2025-07-25T05:47:49.822692+00:00,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
063c6f8f-047c-4cc7-bf32-32d194334e12,111870.02,RTGS,user001,director001,182863.39,Held,Single,Approved,2025-08-01T00:47:49.822700+00:00,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
c3cb8855-c338-4461-877a-9f744c75f30e,192128.83,UPI,user001,director001,165041.16,Cancelled,Dual,Rejected,2025-08-01T20:47:49.822709+00:00,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,No
c60651a8-9214-42ca-ba23-2a7615b8b68a,229219.27,CreditCard,user002,director001,232791.54,Held,Single,Approved,2025-07-21T12:47:49.822717+00:00,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
c244684a-ae08-4f0a-acd8-ca2262740e91,337045.00,UPI,user001,manager002,212276.62,Processed,Dual,Rejected,2025-08-13T05:47:49.822726+00:00,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,No
358d4feb-a888-4faa-84b7-6693d9550ca2,294138.38,CreditCard,user002,director001,292072.84,Processed,Dual,Rejected,2025-07-30T07:47:49.822734+00:00,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,No
2d9503f0-e2e5-4d98-bb33-fe96e2b79215,73177.65,RTGS,user003,director001,223643.30,Cancelled,Single,Approved,2025-07-28T00:47:49.822743+00:00,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
d46fafc6-e5c9-4ae0-aa9f-d54f93335a09,438155.68,UPI,user002,manager002,151636.81,Cancelled,Dual,Approved,2025-08-16T02:47:49.822751+00:00,No,Yes,Yes,Yes,Yes,Yes,Yes,No
9c4bb2b0-0988-4c43-bf1d-ab188e585b4d,498981.54,RTGS,user003,manager001,239571.99,Processed,Dual,Approved,2025-07-28T15:47:49.822759+00:00,No,Yes,Yes,Yes,Yes,Yes,Yes,No
639337f0-b3c8-4063-a852-7b1b26681fe5,239955.59,CreditCard,user002,manager002,154357.73,Processed,Dual,Rejected,2025-08-05T03:47:49.822769+00:00,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,No
9a3d7dc7-cea6-409a-8891-f75ce1dd4688,478146.97,UPI,user001,director001,114486.41,Processed,Dual,Approved,2025-07-28T15:47:49.822778+00:00,No,Yes,Yes,Yes,Yes,Yes,Yes,No
9da40395-9e8d-46c9-a181-75af88713a36,458128.45,UPI,user003,manager001,299358.37,Processed,Dual,Approved,2025-08-18T03:47:49.822786+00:00,No,Yes,Yes,Yes,Yes,Yes,Yes,No
606a67ee-339a-4280-a0d4-3d74d21639c6,378906.60,UPI,user001,manager002,175121.19,Cancelled,Dual,Rejected,2025-08-10T08:47:49.822820+00:00,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,No
fb67605a-77ab-4f58-b423-a7a9bf4455b8,150041.07,UPI,user002,director001,74113.02,Held,Dual,Rejected,2025-07-28T23:47:49.822840+00:00,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,No
aca9a7ec-16b2-4cb7-8664-893327a4442b,114560.04,UPI,user002,manager001,75015.47,Processed,Dual,Rejected,2025-07-26T19:47:49.822852+00:00,Yes,Yes,No,Yes,Yes,Yes,Yes,No
b863f7c1-2ae8-46c0-abb7-f7ad1e64f342,111055.94,UPI,user003,manager001,125432.30,Cancelled,Single,Approved,2025-08-17T11:47:49.822861+00:00,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
39c00e92-3b4e-4c84-9749-535fc3e1c24f,223329.83,CreditCard,user001,manager002,102167.14,Held,Dual,Approved,2025-08-07T07:47:49.822871+00:00,No,Yes,Yes,Yes,Yes,Yes,Yes,No
1be84322-5dd8-4ed3-af92-004842bad3f5,194835.73,RTGS,user003,director001,86298.14,Cancelled,Dual,Approved,2025-07-25T14:47:49.822880+00:00,No,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable
967d99bf-8f28-4319-9eaf-6488a8971b25,314614.87,UPI,user001,manager001,118494.35,Cancelled,Dual,Rejected,2025-08-15T01:47:49.822890+00:00,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,No
edf4c67c-a1b1-4577-9875-4a67a9027d60,11005.55,RTGS,user001,manager002,59663.60,Held,Single,Approved,2025-07-24T03:47:49.822899+00:00,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
006cfd86-0713-4c4f-8b0b-f1b47af06b41,139902.32,UPI,user002,manager001,103806.15,Held,Dual,Rejected,2025-08-10T18:47:49.822909+00:00,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,No
888ecd5f-128f-4a2c-ac89-258d0ba89ccd,91977.15,CreditCard,user002,manager002,104933.73,Held,Single,Approved,2025-07-19T22:47:49.822919+00:00,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
df26204d-0aea-4bff-bcc5-2449357539d5,479243.05,UPI,user001,director001,164825.46,Cancelled,Dual,Rejected,2025-08-20T18:47:49.822928+00:00,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,No
335449d6-906f-4f48-8714-bbea3d5d99f8,233143.38,CreditCard,user002,manager001,242807.54,Cancelled,Single,Approved,2025-08-01T19:47:49.822937+00:00,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
9da672b4-ae24-4c06-98c1-d20d09f98829,470261.92,RTGS,user003,manager001,219150.85,Held,Dual,Rejected,2025-08-07T05:47:49.822945+00:00,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,No
6db252db-84ea-4cf7-ae01-07fdc176ad62,401492.38,UPI,user001,manager001,259800.56,Cancelled,Dual,Approved,2025-07-26T04:47:49.822954+00:00,No,Yes,Yes,Yes,Yes,Yes,Yes,No
74b02e78-9401-4088-8a7f-1ec4dcda58f9,493183.58,CreditCard,user003,manager001,290426.41,Processed,Dual,Approved,2025-07-30T14:47:49.822964+00:00,No,Yes,Yes,Yes,Yes,Yes,Yes,No
142d473a-bf40-48dd-97c2-6b7eed4b8542,342469.45,RTGS,user002,manager002,110232.98,Cancelled,Dual,Approved,2025-08-06T01:47:49.822972+00:00,No,Yes,Yes,Yes,Yes,Yes,Yes,No
5df9173c-b7e2-4913-87dd-16f48bbc34e7,6984.57,CreditCard,user001,manager001,142747.88,Processed,Single,Approved,2025-08-18T04:47:49.822980+00:00,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
7d27bb95-5d0e-4870-8fdf-1ed5e59cfca8,227233.45,RTGS,user002,director001,212047.63,Cancelled,Dual,Approved,2025-08-07T17:47:49.823003+00:00,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
9d46d655-b8c1-4f66-b409-6c3fa0a8afba,179320.16,UPI,user001,director001,122797.18,Processed,Dual,Approved,2025-07-26T14:47:49.823023+00:00,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
c1226a80-6962-4310-8a24-8e9ad7475586,488851.68,UPI,user003,director001,52107.08,Processed,Dual,Rejected,2025-08-10T00:47:49.823035+00:00,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,No
5616e9dd-084c-4c6c-8a13-ca3dd878a085,151057.40,UPI,user002,manager001,83710.48,Held,Dual,Rejected,2025-07-28T14:47:49.823047+00:00,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,Not Applicable
28055307-9f1c-4699-a67e-44e0966be369,300265.24,UPI,user001,director001,259028.45,Held,Dual,Rejected,2025-07-27T05:47:49.823057+00:00,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,No
43e80d97-da2d-4f7e-8a21-85136c065987,434988.67,UPI,user003,manager002,58522.52,Held,Dual,Rejected,2025-08-15T05:47:49.823066+00:00,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,Not Applicable
755a0fc5-1ff1-4271-b3c2-7c4390e5d21e,162438.70,CreditCard,user003,manager002,51685.52,Processed,Dual,Approved,2025-07-31T11:47:49.823075+00:00,Not Applicable,Yes,Not Applicable,Yes,Yes,Yes,Yes,Not Applicable
4646aa6e-e4b0-4ee5-8c38-809aac313e41,260583.49,RTGS,user001,director001,84638.17,Processed,Dual,Approved,2025-08-08T10:47:49.823084+00:00,No,Yes,Yes,Yes,Yes,Yes,Yes,No
39071f40-f751-41ff-81fb-848673df5df6,377400.99,UPI,user003,director001,261597.80,Processed,Dual,Approved,2025-07-30T17:47:49.823094+00:00,No,Yes,Yes,Yes,Yes,Yes,Yes,No
1a1b6d99-b202-467b-a6bc-d6b45e4861df,152254.81,CreditCard,user001,manager002,93798.15,Cancelled,Dual,Rejected,2025-08-07T01:47:49.823103+00:00,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,No
fbe18923-66f3-4cfd-8ea5-6cddae949ede,15570.99,UPI,user002,director001,218129.44,Cancelled,Single,Approved,2025-08-15T05:47:49.823112+00:00,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
801b5db6-90b4-4880-a390-87b56263f28d,296221.64,RTGS,user001,director001,96515.30,Processed,Dual,Approved,2025-08-08T07:47:49.823120+00:00,No,Yes,Yes,Yes,Yes,Yes,Yes,No
3db20f11-8881-41f8-acae-30d0f8286892,259532.38,RTGS,user002,manager002,175153.34,Cancelled,Dual,Rejected,2025-07-22T20:47:49.823136+00:00,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,Not Applicable
3bf96a34-e26d-4f2c-96d7-36d013cf90d8,228556.94,RTGS,user001,director001,70101.17,Cancelled,Dual,Rejected,2025-07-24T07:47:49.823149+00:00,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,No
f6fcaf4c-6d28-4bef-a4d9-8a6a233c5b93,286997.95,CreditCard,user001,manager001,82266.52,Cancelled,Dual,Rejected,2025-07-27T06:47:49.823157+00:00,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,No
4250e2e4-606a-4cce-83b5-316e10a31f62,353204.99,CreditCard,user001,manager001,130795.41,Cancelled,Dual,Approved,2025-08-06T15:47:49.823179+00:00,No,Yes,Yes,Yes,Yes,Yes,Yes,No
9b042215-03b0-43da-b284-dc4db58e60b0,392978.26,CreditCard,user003,manager001,109121.84,Processed,Dual,Rejected,2025-08-01T05:47:49.823210+00:00,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,No
707c2b90-7aae-442a-956b-35427123e5c0,343614.27,UPI,user001,manager002,131067.15,Processed,Dual,Rejected,2025-08-07T01:47:49.823233+00:00,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,No
aa5c9a16-26d8-43da-b34f-8b8649c156f0,378437.08,RTGS,user001,manager001,101725.98,Held,Dual,Rejected,2025-08-14T11:47:49.823254+00:00,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,No
5eaf8676-8fb1-4aa8-86ef-a77478193d23,182296.00,CreditCard,user001,director001,226591.43,Processed,Single,Approved,2025-08-16T21:47:49.823263+00:00,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
adac6ded-0850-422f-8fa7-7100ef799a10,487256.76,CreditCard,user001,manager002,65073.82,Processed,Dual,Rejected,2025-08-20T12:47:49.823273+00:00,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,No
53968181-7443-48ae-8dfb-109ef98fd8d1,361153.31,CreditCard,user001,director001,227049.64,Cancelled,Dual,Rejected,2025-08-05T05:47:49.823282+00:00,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,No
6bdc1d20-7e84-4c1c-a90a-b3cbaefaacff,425186.62,UPI,user001,director001,70186.66,Processed,Dual,Rejected,2025-08-17T20:47:49.823291+00:00,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,No
4d4df232-e391-453f-aa66-757594859d9e,204770.17,CreditCard,user003,manager002,169839.38,Held,Dual,Rejected,2025-08-09T03:47:49.823309+00:00,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,No
c014b546-bfb3-4baa-a671-5dabf818edd1,41049.01,UPI,user001,director001,62377.24,Processed,Single,Approved,2025-08-14T07:47:49.823338+00:00,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
a3dc4533-7b7a-4003-ab3c-6707644d558b,156924.00,RTGS,user002,manager001,204448.88,Cancelled,Single,Approved,2025-08-04T23:47:49.823380+00:00,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
d23aab06-a700-4027-8e10-1b1e9c1d2745,227437.68,CreditCard,user002,manager001,283769.03,Cancelled,Single,Approved,2025-07-27T09:47:49.823391+00:00,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
eae054cf-8d09-48bd-9846-c179f24f9ea6,189144.58,CreditCard,user003,manager001,184303.06,Processed,Dual,Rejected,2025-08-06T19:47:49.823400+00:00,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,No
054ba5e2-1458-48d6-99d3-68bad543a531,368055.18,CreditCard,user003,manager002,268461.61,Processed,Dual,Rejected,2025-08-08T22:47:49.823409+00:00,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,No
a685bd75-e21b-4213-b2bc-14257a54e087,145184.48,CreditCard,user002,manager001,216328.58,Cancelled,Single,Approved,2025-07-27T18:47:49.823441+00:00,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
9e7560c1-6535-45e7-b8a8-c2bfa46afef5,113882.53,UPI,user003,manager002,129634.33,Cancelled,Single,Approved,2025-08-18T05:47:49.823452+00:00,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
aa7d9639-5b24-4597-953c-c5d872080773,393966.16,RTGS,user002,manager001,62600.82,Held,Dual,Rejected,2025-07-26T02:47:49.823461+00:00,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,No
9afae09d-eeae-4a22-95e1-73f48e2112a4,426567.79,RTGS,user001,manager002,141135.73,Processed,Dual,Rejected,2025-07-25T08:47:49.823482+00:00,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,No
3abaea34-153e-45a6-8806-0c0d2f6c35de,90349.64,RTGS,user002,manager002,298145.87,Held,Single,Approved,2025-07-25T12:47:49.823502+00:00,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
1458107b-7230-4138-b06c-1905995e192b,106493.18,CreditCard,user003,manager002,298053.78,Processed,Single,Approved,2025-08-12T14:47:49.823513+00:00,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
0fbd468b-de66-45e9-b1d4-ce096edb550e,463473.58,UPI,user003,manager001,149082.50,Held,Dual,Approved,2025-07-29T07:47:49.823522+00:00,No,Yes,Yes,Yes,Yes,Yes,Yes,No
52c0d901-694b-4ffc-b621-651a1ec992d8,250111.99,CreditCard,user003,director001,178072.36,Processed,Dual,Rejected,2025-07-26T13:47:49.823532+00:00,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,No
105be53c-fe58-4ac8-826c-662f31207d9c,214995.41,CreditCard,user002,director001,186561.59,Processed,Dual,Approved,2025-08-02T12:47:49.823540+00:00,No,Yes,Yes,Yes,Yes,Yes,Yes,No
e2d4c7f2-cbfc-4ea1-b3d2-ec0b32394167,496426.06,CreditCard,user002,manager002,110106.62,Held,Dual,Approved,2025-08-16T15:47:49.823549+00:00,No,Yes,Yes,Yes,Yes,Yes,Yes,No
6b8257f7-afcc-4c49-980b-6ebf5b0bfb97,156792.10,UPI,user001,manager001,175912.46,Held,Single,Approved,2025-08-14T13:47:49.823558+00:00,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
9d01717f-8012-48af-98a0-9ce6cb8fccc2,53483.42,RTGS,user003,manager002,185468.95,Processed,Single,Approved,2025-07-25T13:47:49.823566+00:00,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
01d2abc4-980b-4f6d-88e9-1ae8b934756d,441465.33,CreditCard,user003,manager002,182678.61,Held,Dual,Rejected,2025-08-13T22:47:49.823575+00:00,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,No
a4c15c0d-80de-4316-a1bb-8a590f4831be,172499.38,UPI,user002,manager001,78932.33,Held,Dual,Approved,2025-08-02T11:47:49.823609+00:00,No,Yes,Yes,Yes,Yes,Yes,Yes,No
e6f3437c-e341-4173-8be6-e39da2003e5e,287219.28,CreditCard,user003,director001,177175.21,Cancelled,Dual,Rejected,2025-08-14T08:47:49.823619+00:00,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,Not Applicable
3a3a0811-bcbb-400a-bdb2-197d3055d2a0,282738.51,RTGS,user001,director001,144798.51,Processed,Dual,Approved,2025-07-20T12:47:49.823628+00:00,No,Yes,Yes,Yes,Yes,Yes,Yes,No
53a19bfa-37c5-44c1-ac37-48764812ec16,334400.75,RTGS,user002,manager002,90570.76,Cancelled,Dual,Rejected,2025-08-04T18:47:49.823637+00:00,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,Not Applicable
be738d69-1052-422d-9d8c-d65fd7f84467,479074.92,RTGS,user003,manager002,91247.06,Held,Dual,Approved,2025-08-11T14:47:49.823645+00:00,No,Yes,Yes,Yes,Yes,Yes,Yes,No
8468f1f5-e22e-454b-8080-c3dd036afea1,148738.80,RTGS,user001,manager002,190251.67,Cancelled,Single,Approved,2025-08-13T13:47:49.823654+00:00,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
c45e5991-d62f-4e28-b115-c6d643dcb6b8,366957.91,RTGS,user001,director001,177436.00,Held,Dual,Rejected,2025-07-31T23:47:49.823662+00:00,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,No
22e192f4-de3e-4058-b047-9a8449989c43,244631.35,CreditCard,user001,director001,80356.85,Held,Dual,Approved,2025-07-25T18:47:49.823671+00:00,No,Yes,Yes,Yes,Yes,Yes,Yes,No
50b7777d-c36b-47db-a5cb-cc38fe9986b6,121822.19,CreditCard,user001,director001,200841.65,Cancelled,Single,Approved,2025-07-30T00:47:49.823679+00:00,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
2cef42d9-6a7f-4e75-a964-fff8409867ab,117571.78,RTGS,user002,director001,299998.22,Cancelled,Single,Approved,2025-08-08T17:47:49.823688+00:00,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
35834c24-d12d-424b-8dd5-a0530c26889f,413270.10,RTGS,user003,manager002,208357.07,Held,Dual,Rejected,2025-07-28T01:47:49.823697+00:00,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,No
279ba6ee-05b8-4546-b406-ba5171d2a8e6,72115.67,UPI,user001,manager002,131274.48,Processed,Single,Approved,2025-08-19T08:47:49.823707+00:00,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
2acdaa03-8c2d-4e5b-b3b5-7b85c243d751,372640.23,CreditCard,user001,manager002,211379.46,Processed,Dual,Rejected,2025-08-16T11:47:49.823715+00:00,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,No
209a1b71-4466-4423-a253-d6b339d7527d,407050.07,CreditCard,user003,manager001,192478.10,Held,Dual,Approved,2025-08-06T10:47:49.823724+00:00,No,Yes,Yes,Yes,Yes,Yes,Yes,No
32abbbee-1f09-4fb4-b853-ef9a1e4d2385,445487.83,UPI,user002,manager001,234147.46,Held,Dual,Approved,2025-08-07T21:47:49.823732+00:00,No,Yes,Yes,Yes,Yes,Yes,Yes,No
944e9299-92d9-48ab-878e-82dc566b3e66,330651.49,CreditCard,user003,manager002,167152.35,Held,Dual,Rejected,2025-08-07T02:47:49.823740+00:00,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,No
6ab08090-41b4-43e3-aaba-1545ade4dfe5,47887.63,CreditCard,user001,manager001,90832.20,Processed,Single,Approved,2025-08-03T00:47:49.823749+00:00,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
